player,runs_scored,ball_faced,4s,6s,outs,strike_rate,batting_average,wickets,balls_bowled,runs_conceded,economy,bowling_strike_rate
DJ Hussey,511.0,417.0,31.0,28.0,19.0,122.54,26.89,4.0,164.0,242.0,0.25,41.0
DJ Thornely,39.0,54.0,2.0,2.0,3.0,72.22,13.0,3.0,44.0,38.0,0.14,14.67
DL Vettori,67.0,60.0,7.0,0.0,3.0,111.67,22.33,15.0,261.0,328.0,0.21,17.4
DNT Zoysa,11.0,9.0,1.0,0.0,1.0,122.22,11.0,2.0,69.0,96.0,0.23,34.5
DP Nannes,4.0,13.0,0.0,0.0,1.0,30.77,4.0,31.0,538.0,558.0,0.17,17.35
DP Vijaykumar,1.0,1.0,0.0,0.0,0.0,100.0,0.0,4.0,159.0,192.0,0.2,39.75
DPMD Jayawardene,843.0,622.0,87.0,26.0,24.0,135.53,35.12,0.0,0.0,0.0,0.0,0.0
DR Martyn,19.0,26.0,1.0,0.0,1.0,73.08,19.0,0.0,0.0,0.0,0.0,0.0
DR Smith,282.0,200.0,18.0,17.0,13.0,141.0,21.69,7.0,177.0,234.0,0.22,25.29
DS Kulkarni,11.0,35.0,0.0,0.0,2.0,31.43,5.5,19.0,378.0,449.0,0.2,19.89
DS Lehmann,18.0,19.0,3.0,0.0,2.0,94.74,9.0,0.0,0.0,0.0,0.0,0.0
DT Patil,13.0,13.0,1.0,0.0,2.0,100.0,6.5,0.0,0.0,0.0,0.0,0.0
DW Steyn,15.0,25.0,2.0,0.0,6.0,60.0,2.5,33.0,688.0,662.0,0.16,20.85
EJG Morgan,35.0,31.0,2.0,1.0,3.0,112.9,11.67,0.0,0.0,0.0,0.0,0.0
FH Edwards,4.0,5.0,0.0,0.0,1.0,80.0,4.0,6.0,150.0,144.0,0.16,25.0
FY Fazal,164.0,160.0,19.0,1.0,8.0,102.5,20.5,1.0,12.0,20.0,0.28,12.0
G Gambhir,1097.0,900.0,132.0,12.0,35.0,121.89,31.34,0.0,0.0,0.0,0.0,0.0
GC Smith,697.0,637.0,88.0,9.0,22.0,109.42,31.68,0.0,0.0,0.0,0.0,0.0
GD McGrath,4.0,5.0,1.0,0.0,1.0,80.0,4.0,14.0,329.0,352.0,0.18,23.5
GJ Bailey,63.0,67.0,9.0,0.0,3.0,94.03,21.0,0.0,0.0,0.0,0.0,0.0
GR Napier,15.0,16.0,1.0,0.0,1.0,93.75,15.0,1.0,24.0,27.0,0.19,24.0
H Das,2.0,5.0,0.0,0.0,1.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0
HH Gibbs,805.0,746.0,75.0,29.0,30.0,107.91,26.83,0.0,0.0,0.0,0.0,0.0
Harbhajan Singh,219.0,138.0,19.0,13.0,15.0,158.7,14.6,39.0,664.0,691.0,0.17,17.03
Harmeet Singh,0.0,1.0,0.0,0.0,2.0,0.0,0.0,14.0,293.0,350.0,0.2,20.93
I Sharma,33.0,41.0,2.0,1.0,4.0,80.49,8.25,25.0,696.0,814.0,0.19,27.84
IK Pathan,603.0,472.0,47.0,22.0,24.0,127.75,25.12,57.0,940.0,1123.0,0.2,16.49
Iqbal Abdulla,1.0,3.0,0.0,0.0,0.0,33.33,0.0,3.0,69.0,83.0,0.2,23.0
J Arunkumar,23.0,24.0,5.0,0.0,3.0,95.83,7.67,0.0,0.0,0.0,0.0,0.0
J Botha,47.0,42.0,5.0,0.0,2.0,111.9,23.5,5.0,75.0,67.0,0.15,15.0
J Theron,2.0,6.0,0.0,0.0,2.0,33.33,1.0,9.0,158.0,187.0,0.2,17.56
JA Morkel,537.0,376.0,36.0,31.0,19.0,142.82,28.26,49.0,854.0,1080.0,0.21,17.43
JD Ryder,56.0,49.0,9.0,0.0,5.0,114.29,11.2,5.0,104.0,113.0,0.18,20.8
JDP Oram,106.0,107.0,6.0,5.0,7.0,99.07,15.14,12.0,194.0,277.0,0.24,16.17
JH Kallis,1132.0,1054.0,127.0,21.0,36.0,107.4,31.44,26.0,850.0,1100.0,0.22,32.69
JM Kemp,26.0,25.0,1.0,1.0,2.0,104.0,13.0,3.0,47.0,51.0,0.18,15.67
JP Duminy,529.0,468.0,39.0,16.0,14.0,113.03,37.79,5.0,140.0,123.0,0.15,28.0
JR Hopes,221.0,152.0,27.0,8.0,11.0,145.39,20.09,7.0,171.0,273.0,0.27,24.43
Jaskaran Singh,8.0,11.0,0.0,0.0,1.0,72.73,8.0,6.0,111.0,162.0,0.24,18.5
Joginder Sharma,36.0,29.0,1.0,2.0,3.0,124.14,12.0,13.0,252.0,370.0,0.24,19.38
K Goel,218.0,239.0,17.0,9.0,15.0,91.21,14.53,0.0,67.0,92.0,0.23,0.0
KA Pollard,273.0,152.0,23.0,17.0,12.0,179.61,22.75,17.0,233.0,263.0,0.19,13.71
KAJ Roach,10.0,9.0,1.0,0.0,1.0,111.11,10.0,0.0,52.0,76.0,0.24,0.0
KB Arun Karthik,3.0,5.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
KC Sangakkara,1009.0,799.0,117.0,18.0,32.0,126.28,31.53,0.0,0.0,0.0,0.0,0.0
KD Karthik,711.0,574.0,59.0,19.0,27.0,123.87,26.33,0.0,0.0,0.0,0.0,0.0
KM Jadhav,76.0,60.0,7.0,2.0,3.0,126.67,25.33,0.0,0.0,0.0,0.0,0.0
KP Appanna,2.0,4.0,0.0,0.0,1.0,50.0,2.0,5.0,115.0,136.0,0.2,23.0
KP Pietersen,329.0,248.0,31.0,10.0,10.0,132.66,32.9,8.0,140.0,156.0,0.19,17.5
KV Sharma,1.0,3.0,0.0,0.0,1.0,33.33,1.0,0.0,0.0,0.0,0.0,0.0
Kamran Akmal,128.0,78.0,13.0,8.0,5.0,164.1,25.6,0.0,0.0,0.0,0.0,0.0
Kamran Khan,3.0,5.0,0.0,0.0,1.0,60.0,3.0,14.0,159.0,181.0,0.19,11.36
L Balaji,22.0,35.0,1.0,1.0,6.0,62.86,3.67,35.0,581.0,781.0,0.22,16.6
L Ronchi,34.0,37.0,6.0,1.0,5.0,91.89,6.8,0.0,0.0,0.0,0.0,0.0
LA Carseldine,81.0,71.0,11.0,0.0,4.0,114.08,20.25,1.0,7.0,5.0,0.12,7.0
LA Pomersbach,193.0,150.0,16.0,10.0,5.0,128.67,38.6,0.0,0.0,0.0,0.0,0.0
LPC Silva,40.0,27.0,5.0,1.0,2.0,148.15,20.0,0.0,6.0,21.0,0.58,0.0
LR Shukla,282.0,240.0,25.0,10.0,15.0,117.5,18.8,14.0,238.0,314.0,0.22,17.0
LRPL Taylor,517.0,373.0,35.0,31.0,17.0,138.61,30.41,0.0,7.0,12.0,0.29,0.0
M Kaif,204.0,207.0,16.0,6.0,14.0,98.55,14.57,0.0,0.0,0.0,0.0,0.0
M Kartik,73.0,70.0,5.0,0.0,5.0,104.29,14.6,20.0,537.0,564.0,0.18,26.85
M Manhas,232.0,216.0,21.0,1.0,7.0,107.41,33.14,0.0,0.0,0.0,0.0,0.0
M Morkel,17.0,25.0,2.0,0.0,2.0,68.0,8.5,1.0,90.0,100.0,0.19,90.0
M Muralitharan,9.0,13.0,1.0,0.0,4.0,69.23,2.25,43.0,979.0,955.0,0.16,22.77
M Ntini,11.0,19.0,2.0,0.0,1.0,57.89,11.0,8.0,213.0,238.0,0.19,26.62
M Rawat,50.0,59.0,4.0,1.0,4.0,84.75,12.5,0.0,0.0,0.0,0.0,0.0
M Vijay,518.0,374.0,40.0,28.0,17.0,138.5,30.47,0.0,0.0,0.0,0.0,0.0
MA Khote,24.0,22.0,2.0,1.0,2.0,109.09,12.0,2.0,30.0,51.0,0.28,15.0
MC Henriques,49.0,45.0,4.0,1.0,3.0,108.89,16.33,3.0,100.0,139.0,0.23,33.33
MD Mishra,166.0,149.0,18.0,6.0,11.0,111.41,15.09,0.0,0.0,0.0,0.0,0.0
MEK Hussey,205.0,144.0,14.0,11.0,4.0,142.36,51.25,0.0,0.0,0.0,0.0,0.0
MF Maharoof,177.0,124.0,12.0,9.0,10.0,142.74,17.7,33.0,441.0,494.0,0.19,13.36
MJ Lumb,278.0,196.0,45.0,6.0,11.0,141.84,25.27,0.0,0.0,0.0,0.0,0.0
MK Pandey,420.0,363.0,44.0,11.0,16.0,115.7,26.25,0.0,0.0,0.0,0.0,0.0
MK Tiwary,350.0,292.0,40.0,5.0,14.0,119.86,25.0,1.0,13.0,21.0,0.27,13.0
ML Hayden,1107.0,839.0,121.0,44.0,31.0,131.94,35.71,0.0,0.0,0.0,0.0,0.0
MM Patel,37.0,32.0,5.0,0.0,4.0,115.62,9.25,39.0,632.0,763.0,0.2,16.21
MN van Wyk,167.0,135.0,19.0,1.0,3.0,123.7,55.67,0.0,0.0,0.0,0.0,0.0
MR Marsh,28.0,31.0,1.0,1.0,2.0,90.32,14.0,2.0,64.0,84.0,0.22,32.0
MS Bisla,218.0,189.0,27.0,6.0,10.0,115.34,21.8,0.0,0.0,0.0,0.0,0.0
MS Dhoni,1033.0,804.0,86.0,32.0,27.0,128.48,38.26,0.0,0.0,0.0,0.0,0.0
MS Gony,50.0,39.0,2.0,5.0,4.0,128.21,12.5,24.0,529.0,688.0,0.22,22.04
MV Boucher,388.0,312.0,32.0,13.0,13.0,124.36,29.85,0.0,0.0,0.0,0.0,0.0
Mandeep Singh,4.0,11.0,1.0,0.0,2.0,36.36,2.0,0.0,0.0,0.0,0.0,0.0
Mashrafe Mortaza,2.0,2.0,0.0,0.0,0.0,100.0,0.0,1.0,28.0,54.0,0.32,28.0
Misbah-ul-Haq,117.0,82.0,10.0,6.0,7.0,142.68,16.71,0.0,0.0,0.0,0.0,0.0
Mohammad Ashraful,2.0,12.0,0.0,0.0,1.0,16.67,2.0,0.0,0.0,0.0,0.0,0.0
Mohammad Asif,3.0,6.0,0.0,0.0,2.0,50.0,1.5,9.0,199.0,289.0,0.24,22.11
Mohammad Hafeez,64.0,84.0,7.0,2.0,7.0,76.19,9.14,2.0,63.0,61.0,0.16,31.5
NV Ojha,545.0,439.0,53.0,26.0,19.0,124.15,28.68,0.0,0.0,0.0,0.0,0.0
